countyFIPS,Population,Cases_begin,Cases_end,Deaths_begin,Deaths_end,Booster_begin,Booster_end,Booster_pct_begin,Booster_pct_end,Booster18_begin,Booster18_end,Booster18_pct_begin,Booster18_pct_end,Booster65_begin,Booster65_end,Booster65_pct_begin,Booster65_pct_end,Complete_begin,Complete_end,Complete_pct_begin,Complete_pct_end,Complete18_begin,Complete18_end,Complete18_pct_begin,Complete18_pct_end,Complete65_begin,Complete65_end,Complete65_pct_begin,Complete65_pct_end,Cases_diff,Cases_diff_pct,Deaths_diff,Deaths_diff_pct
5025,7956,1281,1441,29,33,,,,,,,,,,,,,3324,3878,41.8,48.7,3154,3642,50.5,58.4,1124,1198,65.9,70.3,160,2.0110608345902463,4,0.05027652086475616
5027,23457,3024,3413,61,75,,,,,,,,,,,,,8466,10450,36.1,44.5,8055,9801,43.3,52.6,2775,3078,66.7,74.0,389,1.6583535831521508,14,0.05968367651447329
5029,20846,2814,3261,40,46,,,,,,,,,,,,,9160,10303,43.9,49.4,8644,9616,53.6,59.6,3011,3122,73.2,75.9,447,2.1442962678691355,6,0.02878250023985417
5031,110332,18586,22206,210,249,,,,,,,,,,,,,36709,45126,33.3,40.9,34207,41654,41.3,50.3,9021,10720,58.5,69.5,3620,3.2810064169959756,39,0.035347859188630676
5033,63257,9070,11051,140,179,,,,,,,,,,,,,22721,26676,35.9,42.2,21429,24800,44.8,51.8,7029,7549,64.8,69.6,1981,3.131669222378551,39,0.061653255766160264
5035,47955,7619,8997,109,180,,,,,,,,,,,,,15427,19005,32.2,39.6,14431,17504,41.3,50.0,3942,4377,56.6,62.9,1378,2.873527265144406,71,0.14805546866854344
5037,16419,2552,3040,58,67,,,,,,,,,,,,,6410,7875,39.0,48.0,6108,7382,48.4,58.5,2145,2344,67.7,74.0,488,2.972166392593946,9,0.05481454412570802
5039,7009,1058,1145,18,19,,,,,,,,,,,,,3189,3709,45.5,52.9,3019,3433,54.5,62.0,1201,1257,70.2,73.5,87,1.2412612355542874,1,0.014267370523612499
5041,11361,1690,1947,24,33,,,,,,,,,,,,,5178,6125,45.6,53.9,4854,5653,57.2,66.6,1738,1868,78.0,83.9,257,2.262124812956606,9,0.07921837866385001
5043,18219,2553,2951,52,55,,,,,,,,,,,,,6886,8055,37.8,44.2,6540,7514,45.8,52.6,2125,2268,64.1,68.4,398,2.184532630770075,3,0.016466326362588508
5045,126007,17735,20304,190,227,,,,,,,,,,,,,49732,56229,39.5,44.6,46245,51780,47.5,53.2,12241,12821,75.6,79.2,2569,2.038775623576468,37,0.02936344806240923
5047,17715,2342,2810,46,55,,,,,,,,,,,,,6847,8044,38.7,45.4,6538,7536,47.5,54.8,2409,2527,68.2,71.5,468,2.6418289585097376,9,0.05080440304826418
5049,12477,1518,1884,51,67,,,,,,,,,,,,,3182,3736,25.5,29.9,3076,3561,31.3,36.2,1295,1438,39.9,44.3,366,2.933397451310411,16,0.1282359541556464
5051,99386,14591,16180,332,399,,,,,,,,,,,,,35440,41691,35.7,41.9,33659,39152,42.3,49.2,15151,16786,62.8,69.5,1589,1.5988167347513735,67,0.06741392147787414
5053,18265,2623,2912,44,50,,,,,,,,,,,,,6643,7836,36.4,42.9,6365,7393,44.7,51.9,2149,2279,63.7,67.6,289,1.582261155214892,6,0.03284971256501506
5055,45325,8517,10407,97,125,,,,,,,,,,,,,15236,18040,33.6,39.8,14440,16888,42.1,49.2,4718,5174,64.0,70.2,1890,4.1698841698841695,28,0.06177606177606178
5057,21532,2586,3020,21,41,,,,,,,,,,,,,5037,7677,23.4,35.7,4931,7323,30.8,45.8,1679,2141,42.2,53.8,434,2.0156046814044215,20,0.09288500835965076
5059,33771,6962,7774,100,109,,,,,,,,,,,,,11590,13407,34.3,39.7,10946,12508,40.8,46.7,4033,4269,61.8,65.4,812,2.404429836250037,9,0.026650084391933906
5061,13202,2130,2542,28,39,,,,,,,,,,,,,4935,6694,37.4,50.7,4786,6402,49.1,65.7,1710,1917,71.7,80.3,412,3.120739281926981,11,0.08332070898348735
5063,37825,5327,6883,142,161,,,,,,,,,,,,,11953,14090,31.6,37.3,11311,13164,39.6,46.1,4000,4384,58.9,64.6,1556,4.113681427627231,19,0.05023132848645076
5065,13629,2207,2706,52,55,,,,,,,,,,,,,4006,4762,29.4,34.9,3830,4481,34.3,40.1,1618,1754,45.5,49.3,499,3.661310440971458,3,0.02201188641866608
