countyFIPS,County Name,State,Population,Land Area in square miles,Population Density,Cases in given period,Deaths in given period,Percentage of fully vaccinated,Percentage of vaccinated with booster
17193,White County ,IL,13537,494.77,27.36,1130,5,48.6,36.15
17195,Whiteside County ,IL,55175,684.25,80.64,4616,19,55.75,40.65
17197,Will County ,IL,690743,836.91,825.35,49328,190,63.95,39.65
17199,Williamson County ,IL,66597,420.15,158.51,7656,36,53.15,38.2
17201,Winnebago County ,IL,282572,513.36,550.44,22343,130,55.05,41.9
17203,Woodford County ,IL,38459,527.8,72.87,3085,10,52.95,42.9
18001,Adams County ,IN,35777,339.03,105.53,1363,19,31.9,39.75
18003,Allen County ,IN,379299,657.31,577.05,29552,141,50.15,37.1
18005,Bartholomew County ,IN,83779,406.91,205.89,6510,25,56.95,39.55
18007,Benton County ,IN,8748,406.42,21.52,626,3,40.2,34.65
18009,Blackford County ,IN,11758,165.08,71.23,640,15,44.45,38.65
18011,Boone County ,IN,67843,422.91,160.42,4168,18,68.0,40.0
18013,Brown County ,IN,15092,311.98,48.37,614,9,48.75,42.3
18015,Carroll County ,IN,20257,372.22,54.42,931,13,33.55,32.55
18017,Cass County ,IN,37689,412.16,91.44,2431,15,43.4,32.15
18019,Clark County ,IN,118302,372.86,317.28,7831,61,57.9,33.95
18021,Clay County ,IN,26225,357.54,73.35,1760,14,53.85,33.6
18023,Clinton County ,IN,32399,405.07,79.98,2300,20,45.9,32.3
18025,Crawford County ,IN,10577,305.64,34.61,602,5,36.0,35.1
18027,Daviess County ,IN,33351,429.49,77.65,1869,12,31.95,31.85
18029,Dearborn County ,IN,49458,305.03,162.14,3498,11,58.85,31.5
18031,Decatur County ,IN,26559,372.57,71.29,1790,17,46.3,38.7
18033,DeKalb County ,IN,43475,362.82,119.83,2602,20,40.95,36.7
18035,Delaware County ,IN,114135,392.12,291.07,5822,72,46.5,38.8
18037,Dubois County ,IN,42736,427.27,100.02,3176,10,55.2,40.05
18039,Elkhart County ,IN,206341,463.17,445.5,10846,89,40.7,31.95
18041,Fayette County ,IN,23102,215.01,107.45,1527,22,37.85,35.9
18043,Floyd County ,IN,78522,147.94,530.77,5151,29,54.85,38.5
18045,Fountain County ,IN,16346,395.66,41.31,1157,18,44.7,32.95
